NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS
60,25863,5,1,6,4,8,2020-10-21,1
60,25862,6,0,9,1,3,2020-10-20,1
60,25861,7,6,3,1,6,2020-10-20,2
60,25860,3,4,3,1,9,2020-10-20,2
60,25859,0,8,7,4,1,2020-10-20,1
60,25858,0,9,5,6,9,2020-10-20,1
60,25857,3,6,5,6,7,2020-10-19,3
60,25856,8,9,6,4,3,2020-10-19,1
60,25855,7,6,7,9,5,2020-10-19,3
60,25854,7,4,3,7,7,2020-10-19,4
60,25853,7,0,0,8,5,2020-10-19,2
60,25852,2,2,5,4,6,2020-10-18,3
60,25851,9,7,3,4,0,2020-10-18,2
60,25850,9,8,9,8,7,2020-10-18,1
60,25849,1,6,1,2,7,2020-10-18,2
60,25848,6,4,0,5,4,2020-10-18,1
60,25847,8,0,1,8,5,2020-10-17,1
60,25846,9,8,9,5,4,2020-10-17,1
60,25845,3,2,0,0,6,2020-10-17,2
60,25844,7,6,2,7,1,2020-10-17,3
60,25843,7,1,2,6,7,2020-10-17,3
60,25842,8,0,2,3,3,2020-10-16,3
60,25841,7,8,1,5,4,2020-10-16,2
60,25840,5,1,8,7,4,2020-10-16,2
60,25839,8,0,7,9,9,2020-10-16,1
60,25838,9,6,1,7,3,2020-10-16,2
60,25837,6,8,4,0,3,2020-10-15,1
60,25836,3,3,7,9,6,2020-10-15,3
60,25835,3,4,7,6,2,2020-10-15,3
60,25834,9,5,4,7,5,2020-10-15,3
60,25833,0,5,9,1,0,2020-10-15,1
60,25832,2,2,6,0,6,2020-10-14,2
60,25831,9,8,1,1,1,2020-10-14,0
60,25830,5,1,3,4,4,2020-10-14,2
60,25829,3,2,6,8,8,2020-10-14,2
60,25828,7,7,9,8,3,2020-10-14,3
60,25827,6,5,4,0,5,2020-10-13,2
60,25826,8,5,1,8,4,2020-10-13,1
60,25825,3,0,3,7,1,2020-10-13,3
60,25824,6,5,1,3,2,2020-10-13,3
60,25823,5,6,8,2,6,2020-10-13,2
60,25822,4,1,5,3,2,2020-10-12,3
60,25821,7,5,8,6,3,2020-10-12,3
